Model,Cited Reference Count,"Times Cited, All Databases",Publication Year
ResNet,19,4,2019
ResNet,15,0,2019
ResNet,17,1,2019
ResNet,36,6,2019
ResNet,45,11,2019
ResNet,59,5,2019
ResNet,41,9,2019
ResNet,41,2,2019
ResNet,26,5,2019
ResNet,22,1,2019
ResNet,28,5,2019
ResNet,18,12,2019
ResNet,27,0,2019
ResNet,30,25,2019
ResNet,13,0,2019
ResNet,14,3,2019
ResNet,10,2,2019
ResNet,9,1,2019
ResNet,14,0,2019
ResNet,26,1,2019
ResNet,24,15,2019
ResNet,10,0,2019
ResNet,12,3,2019
ResNet,9,2,2019
ResNet,31,11,2019
ResNet,15,1,2019
ResNet,24,3,2019
ResNet,8,0,2019
ResNet,54,8,2019
ResNet,13,2,2019
ResNet,17,0,2019
ResNet,25,1,2019
ResNet,17,2,2019
ResNet,33,2,2019
ResNet,13,0,2019
ResNet,14,0,2019
ResNet,36,2,2019
ResNet,32,2,2019
ResNet,35,21,2019
ResNet,23,2,2019
ResNet,28,1,2019
ResNet,14,6,2019
ResNet,14,3,2019
ResNet,28,5,2019
ResNet,27,0,2019
ResNet,19,1,2019
ResNet,9,0,2019
ResNet,19,0,2019
ResNet,14,0,2019
ResNet,22,5,2019
ResNet,27,0,2019
ResNet,31,1,2019
ResNet,15,11,2019
ResNet,21,3,2019
ResNet,26,3,2019
ResNet,16,0,2019
ResNet,5,0,2019
ResNet,18,0,2019
ResNet,26,1,2019
ResNet,15,0,2019
ResNet,22,7,2019
ResNet,22,23,2019
ResNet,13,4,2019
ResNet,13,10,2019
ResNet,12,6,2019
ResNet,12,3,2019
ResNet,29,10,2019
ResNet,13,3,2019
ResNet,12,5,2019
ResNet,18,3,2019
ResNet,40,0,2019
ResNet,26,2,2019
ResNet,47,1,2019
ResNet,38,2,2019
ResNet,7,0,2019
ResNet,19,0,2019
ResNet,27,4,2019
ResNet,22,0,2019
ResNet,24,0,2019
ResNet,27,2,2019
ResNet,27,0,2019
ResNet,27,3,2019
ResNet,16,3,2019
ResNet,20,4,2019
ResNet,18,0,2019
ResNet,48,0,2019
ResNet,36,0,2019
ResNet,12,2,2019
ResNet,11,2,2019
ResNet,43,0,2019
ResNet,85,3,2019
ResNet,37,1,2019
ResNet,24,10,2019
ResNet,39,0,2019
ResNet,42,3,2019
ResNet,29,13,2019
ResNet,17,4,2019
ResNet,24,1,2019
ResNet,16,2,2019
ResNet,7,1,2019
ResNet,35,9,2019
ResNet,26,2,2019
ResNet,18,5,2019
ResNet,37,0,2019
ResNet,29,8,2019
ResNet,14,4,2019
ResNet,19,3,2019
ResNet,21,4,2019
ResNet,12,2,2019
ResNet,23,0,2019
ResNet,11,0,2019
ResNet,6,10,2019
ResNet,15,2,2019
ResNet,11,2,2019
ResNet,23,5,2019
ResNet,22,5,2019
ResNet,37,3,2019
ResNet,30,5,2019
ResNet,29,2,2019
ResNet,10,1,2019
ResNet,16,19,2019
ResNet,14,8,2019
ResNet,37,12,2019
ResNet,13,3,2019
ResNet,14,28,2019
ResNet,12,73,2019
ResNet,12,2,2019
ResNet,24,167,2019
ResNet,39,39,2019
ResNet,36,64,2019
ResNet,41,106,2019
ResNet,57,131,2019
ResNet,31,69,2019
ResNet,38,17,2019
ResNet,36,94,2019
ResNet,83,133,2019
ResNet,43,133,2019
ResNet,41,1,2019
ResNet,40,0,2019
ResNet,43,366,2019
ResNet,52,13,2019
ResNet,52,115,2019
ResNet,40,26,2019
ResNet,54,246,2019
ResNet,41,7,2019
ResNet,49,258,2019
ResNet,72,33,2019
ResNet,40,14,2019
ResNet,55,10,2019
ResNet,16,1,2019
ResNet,27,2,2019
ResNet,10,2,2019
ResNet,32,19,2019
ResNet,18,19,2019
ResNet,16,8,2019
ResNet,13,4,2019
ResNet,17,11,2019
ResNet,16,6,2019
ResNet,18,0,2019
ResNet,17,2,2019
ResNet,21,0,2019
ResNet,30,0,2019
ResNet,20,1,2019
ResNet,8,1,2019
ResNet,31,15,2019
ResNet,37,0,2019
ResNet,25,0,2019
ResNet,18,0,2019
ResNet,19,1,2019
ResNet,51,24,2019
ResNet,56,8,2019
ResNet,39,19,2019
ResNet,28,184,2019
ResNet,32,6,2019
ResNet,44,15,2019
ResNet,44,27,2019
ResNet,36,14,2019
ResNet,31,3,2019
ResNet,34,3,2019
ResNet,32,7,2019
ResNet,61,14,2019
ResNet,33,185,2019
ResNet,29,7,2019
ResNet,38,65,2019
ResNet,34,10,2019
ResNet,31,20,2019
ResNet,43,26,2019
ResNet,18,0,2019
ResNet,24,5,2019
ResNet,32,1,2019
ResNet,24,0,2019
ResNet,15,5,2019
ResNet,18,0,2019
ResNet,46,12,2019
ResNet,20,1,2019
ResNet,13,8,2019
ResNet,23,5,2019
ResNet,17,38,2019
ResNet,22,0,2019
ResNet,38,161,2019
ResNet,35,393,2019
ResNet,42,66,2019
ResNet,41,100,2019
ResNet,0,31,2019
ResNet,40,69,2019
ResNet,33,73,2019
ResNet,47,70,2019
ResNet,62,163,2019
ResNet,46,40,2019
ResNet,51,166,2019
ResNet,35,245,2019
ResNet,47,11,2019
ResNet,42,61,2019
ResNet,53,652,2019
ResNet,46,352,2019
ResNet,30,90,2019
ResNet,43,42,2019
ResNet,52,41,2019
ResNet,55,17,2019
ResNet,40,16,2019
ResNet,71,5,2019
ResNet,40,10,2019
ResNet,31,6,2019
ResNet,32,15,2019
ResNet,45,10,2019
ResNet,30,0,2019
ResNet,28,22,2019
ResNet,29,0,2019
ResNet,32,0,2019
ResNet,18,5,2019
ResNet,15,3,2019
ResNet,45,5,2019
ResNet,31,4,2019
ResNet,31,4,2019
ResNet,22,0,2019
ResNet,14,0,2019
ResNet,9,0,2019
ResNet,33,15,2019
ResNet,35,8,2019
ResNet,37,5,2019
ResNet,17,1,2019
ResNet,14,16,2019
ResNet,15,16,2019
ResNet,17,12,2019
ResNet,39,0,2019
ResNet,36,0,2019
ResNet,26,0,2019
ResNet,33,0,2019
ResNet,17,0,2019
ResNet,36,4,2019
ResNet,18,0,2019
ResNet,45,0,2019
ResNet,15,10,2019
ResNet,18,1,2019
ResNet,32,25,2019
ResNet,30,25,2019
ResNet,31,0,2019
ResNet,38,64,2019
ResNet,31,4,2019
ResNet,55,47,2019
ResNet,27,3,2019
ResNet,24,9,2019
ResNet,20,2,2019
ResNet,24,0,2019
ResNet,24,0,2019
ResNet,26,0,2019
ResNet,9,2,2019
ResNet,18,3,2019
ResNet,15,29,2019
ResNet,15,1,2019
ResNet,29,3,2019
ResNet,43,3,2019
ResNet,11,0,2019
ResNet,6,3,2019
ResNet,40,2,2019
ResNet,19,0,2019
ResNet,8,24,2019
ResNet,7,23,2019
ResNet,26,2,2019
ResNet,25,0,2019
ResNet,24,0,2019
ResNet,46,0,2019
ResNet,15,0,2019
ResNet,17,0,2019
ResNet,30,0,2019
ResNet,51,5,2019
ResNet,7,3,2019
ResNet,12,3,2019
ResNet,14,0,2019
ResNet,20,0,2019
ResNet,26,2,2019
ResNet,26,0,2019
ResNet,29,2,2019
ResNet,18,9,2019
ResNet,15,0,2019
ResNet,7,0,2019
ResNet,10,3,2019
ResNet,20,7,2019
ResNet,10,2,2019
ResNet,51,0,2019
ResNet,14,0,2019
ResNet,31,2,2019
ResNet,33,0,2019
ResNet,24,23,2019
ResNet,9,1,2019
ResNet,25,11,2019
ResNet,21,0,2019
ResNet,15,6,2019
ResNet,22,2,2019
ResNet,18,11,2019
ResNet,20,1,2019
ResNet,13,5,2019
ResNet,27,0,2019
ResNet,20,2,2019
ResNet,11,16,2019
ResNet,20,5,2019
ResNet,21,2,2019
ResNet,28,33,2019
ResNet,20,1,2019
ResNet,26,4,2019
ResNet,20,11,2019
ResNet,26,129,2019
ResNet,16,27,2019
ResNet,22,9,2019
ResNet,19,0,2019
ResNet,28,9,2019
ResNet,23,8,2019
ResNet,29,0,2019
ResNet,25,24,2019
ResNet,53,12,2019
ResNet,24,1,2019
ResNet,14,17,2019
ResNet,40,0,2019
ResNet,17,3,2019
ResNet,15,5,2019
ResNet,16,0,2019
ResNet,4,0,2019
ResNet,11,1,2019
ResNet,7,1,2019
ResNet,8,7,2019
ResNet,16,17,2019
ResNet,14,6,2019
ResNet,13,26,2019
ResNet,11,2,2019
ResNet,15,6,2019
ResNet,10,1,2019
ResNet,9,8,2019
ResNet,11,4,2019
ResNet,15,9,2019
ResNet,18,6,2019
ResNet,8,1,2019
ResNet,11,2,2019
ResNet,10,2,2019
ResNet,21,0,2019
ResNet,71,4,2019
ResNet,15,1,2019
ResNet,9,1,2019
ResNet,14,1,2019
ResNet,19,0,2019
ResNet,40,0,2019
ResNet,20,8,2019
ResNet,19,0,2019
ResNet,76,92,2019
ResNet,40,14,2019
ResNet,35,1,2019
ResNet,15,2,2019
ResNet,68,0,2019
